,성별,확진자 수,사망자 수,날짜,날짜_dt
297,남성,12332203,14632.0,2022-11-18,2022-11-18
298,여성,14102217,15257.0,2022-11-17,2022-11-17
299,남성,12310684,14605.0,2022-11-17,2022-11-17
300,여성,14070794,15220.0,2022-11-16,2022-11-16
301,남성,12286670,14575.0,2022-11-16,2022-11-16
302,여성,14033249,15194.0,2022-11-15,2022-11-15
303,남성,12257628,14554.0,2022-11-15,2022-11-15
304,여성,13992715,15171.0,2022-11-14,2022-11-14
305,남성,12225279,14538.0,2022-11-14,2022-11-14
306,여성,13979655,15145.0,2022-11-13,2022-11-13
307,남성,12214574,14520.0,2022-11-13,2022-11-13
308,여성,13952482,15117.0,2022-11-12,2022-11-12
309,남성,12193282,14500.0,2022-11-12,2022-11-12
310,여성,13921806,15096.0,2022-11-11,2022-11-11
311,남성,12169733,14475.0,2022-11-11,2022-11-11
312,여성,13891487,15081.0,2022-11-10,2022-11-10
313,남성,12145533,14450.0,2022-11-10,2022-11-10
314,여성,13860226,15047.0,2022-11-09,2022-11-09
315,남성,12121429,14432.0,2022-11-09,2022-11-09
316,여성,13825208,15013.0,2022-11-08,2022-11-08
317,남성,12093975,14407.0,2022-11-08,2022-11-08
318,여성,13790766,14999.0,2022-11-07,2022-11-07
319,남성,12066144,14391.0,2022-11-07,2022-11-07
320,여성,13780523,14991.0,2022-11-06,2022-11-06
321,남성,12057716,14381.0,2022-11-06,2022-11-06
322,여성,13760015,14982.0,2022-11-05,2022-11-05
323,남성,12041549,14372.0,2022-11-05,2022-11-05
324,여성,13737129,14960.0,2022-11-04,2022-11-04
325,남성,12023572,14355.0,2022-11-04,2022-11-04
326,여성,13712681,14943.0,2022-11-03,2022-11-03
327,남성,12004596,14337.0,2022-11-03,2022-11-03
328,여성,13686059,14917.0,2022-11-02,2022-11-02
329,남성,11984348,14322.0,2022-11-02,2022-11-02
330,여성,13686059,14917.0,2022-11-02,2022-11-02
331,남성,11984348,14322.0,2022-11-02,2022-11-02
332,여성,13655110,14899.0,2022-11-01,2022-11-01
333,남성,11960557,14310.0,2022-11-01,2022-11-01
334,여성,13622571,14883.0,2022-10-31,2022-10-31
335,남성,11934738,14293.0,2022-10-31,2022-10-31
336,여성,13612532,14876.0,2022-10-31,2022-10-31
337,남성,11926267,14282.0,2022-10-31,2022-10-31
338,여성,13612532,14876.0,2022-10-30,2022-10-30
339,남성,11926267,14282.0,2022-10-30,2022-10-30
340,여성,13593229,14862.0,2022-10-29,2022-10-29
341,남성,11911059,14269.0,2022-10-29,2022-10-29
342,여성,13572297,14847.0,2022-10-28,2022-10-28
343,남성,11894695,14253.0,2022-10-28,2022-10-28
344,여성,13551868,14833.0,2022-10-27,2022-10-27
345,남성,11879237,14236.0,2022-10-27,2022-10-27
346,여성,13532034,14820.0,2022-10-26,2022-10-26
347,남성,11864121,14223.0,2022-10-26,2022-10-26
348,여성,13508952,14807.0,2022-10-25,2022-10-25
349,남성,11846398,14210.0,2022-10-25,2022-10-25
350,여성,13484515,14803.0,2022-10-24,2022-10-24
351,남성,11827121,14197.0,2022-10-24,2022-10-24
352,여성,13476722,14799.0,2022-10-23,2022-10-23
353,남성,11820612,14191.0,2022-10-23,2022-10-23
354,여성,13462106,14793.0,2022-10-22,2022-10-22
355,남성,11808972,14181.0,2022-10-22,2022-10-22
356,여성,13446979,14780.0,2022-10-21,2022-10-21
357,남성,11797276,14172.0,2022-10-21,2022-10-21
358,여성,13433044,14768.0,2022-10-20,2022-10-20
359,남성,11786502,14154.0,2022-10-20,2022-10-20
360,여성,13418704,14755.0,2022-10-19,2022-10-19
361,남성,11775473,14144.0,2022-10-19,2022-10-19
362,여성,13402367,14735.0,2022-10-18,2022-10-18
363,남성,11762328,14121.0,2022-10-18,2022-10-18
364,여성,13383930,14729.0,2022-10-17,2022-10-17
365,남성,11747575,14122.0,2022-10-17,2022-10-17
366,여성,13378119,14723.0,2022-10-16,2022-10-16
367,남성,11742346,14117.0,2022-10-16,2022-10-16
368,여성,13366041,14707.0,2022-10-15,2022-10-15
369,남성,11732955,14101.0,2022-10-15,2022-10-15
370,여성,13353375,14696.0,2022-10-14,2022-10-14
371,남성,11722864,14087.0,2022-10-14,2022-10-14
372,여성,13340346,14673.0,2022-10-13,2022-10-13
373,남성,11712331,14075.0,2022-10-13,2022-10-13
374,여성,13325280,14661.0,2022-10-12,2022-10-12
375,남성,11700469,14062.0,2022-10-12,2022-10-12
376,여성,13308229,14657.0,2022-10-11,2022-10-11
377,남성,11687017,14051.0,2022-10-11,2022-10-11
378,여성,13299731,14653.0,2022-10-10,2022-10-10
379,남성,11680039,14045.0,2022-10-10,2022-10-10
380,여성,13294823,14640.0,2022-10-09,2022-10-09
381,남성,11675966,14035.0,2022-10-09,2022-10-09
382,여성,13285027,14625.0,2022-10-08,2022-10-08
383,남성,11668108,14021.0,2022-10-08,2022-10-08
384,여성,13274287,14614.0,2022-10-07,2022-10-07
385,남성,11659469,14000.0,2022-10-07,2022-10-07
386,여성,13261901,14595.0,2022-10-06,2022-10-06
387,남성,11649596,13978.0,2022-10-06,2022-10-06
388,여성,13245938,14587.0,2022-10-05,2022-10-05
389,남성,11636956,13957.0,2022-10-05,2022-10-05
390,여성,13226871,14580.0,2022-10-04,2022-10-04
391,남성,11621313,13948.0,2022-10-04,2022-10-04
392,여성,13183792,14511.0,2022-09-30,2022-09-30
